"idhod","hodnota","ukaz_kod","vytah_cis","vytah_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vytah_txt","uzemi_txt"
"957100437","131","2409",,,"43","557188","2021","2021-03-26","Počet domů",,"Šelešovice"
"965568872","0","2409","3206","1","43","557188","2021","2021-03-26","Počet domů","s výtahem","Šelešovice"
"965568871","130","2409","3206","2","43","557188","2021","2021-03-26","Počet domů","bez výtahu","Šelešovice"
"965528842","1","2409","5768","9","43","557188","2021","2021-03-26","Počet domů","nezjištěno","Šelešovice"
"957388154","126","2409",,,"43","557196","2021","2021-03-26","Počet domů",,"Pavlovice u Kojetína"
"965513884","0","2409","3206","1","43","557196","2021","2021-03-26","Počet domů","s výtahem","Pavlovice u Kojetína"
"965567244","126","2409","3206","2","43","557196","2021","2021-03-26","Počet domů","bez výtahu","Pavlovice u Kojetína"
"965567245","0","2409","5768","9","43","557196","2021","2021-03-26","Počet domů","nezjištěno","Pavlovice u Kojetína"
"957389438","697","2409",,,"43","557200","2021","2021-03-26","Počet domů",,"Švihov"
"965500191","1","2409","3206","1","43","557200","2021","2021-03-26","Počet domů","s výtahem","Švihov"
"965486710","688","2409","3206","2","43","557200","2021","2021-03-26","Počet domů","bez výtahu","Švihov"
"965526978","8","2409","5768","9","43","557200","2021","2021-03-26","Počet domů","nezjištěno","Švihov"
"957248227","112","2409",,,"43","557218","2021","2021-03-26","Počet domů",,"Kobylá nad Vidnavkou"
"965568493","0","2409","3206","1","43","557218","2021","2021-03-26","Počet domů","s výtahem","Kobylá nad Vidnavkou"
"965582046","110","2409","3206","2","43","557218","2021","2021-03-26","Počet domů","bez výtahu","Kobylá nad Vidnavkou"
"965568494","2","2409","5768","9","43","557218","2021","2021-03-26","Počet domů","nezjištěno","Kobylá nad Vidnavkou"
"957171247","278","2409",,,"43","557226","2021","2021-03-26","Počet domů",,"Písečná"
"965553463","0","2409","3206","1","43","557226","2021","2021-03-26","Počet domů","s výtahem","Písečná"
"965526747","278","2409","3206","2","43","557226","2021","2021-03-26","Počet domů","bez výtahu","Písečná"
"965540056","0","2409","5768","9","43","557226","2021","2021-03-26","Počet domů","nezjištěno","Písečná"
"957170904","500","2409",,,"43","557366","2021","2021-03-26","Počet domů",,"Velhartice"
"965553795","1","2409","3206","1","43","557366","2021","2021-03-26","Počet domů","s výtahem","Velhartice"
"965581309","435","2409","3206","2","43","557366","2021","2021-03-26","Počet domů","bez výtahu","Velhartice"
"965500320","64","2409","5768","9","43","557366","2021","2021-03-26","Počet domů","nezjištěno","Velhartice"
"957099309","80","2409",,,"43","557374","2021","2021-03-26","Počet domů",,"Velké Hydčice"
"965567658","0","2409","3206","1","43","557374","2021","2021-03-26","Počet domů","s výtahem","Velké Hydčice"
"965581143","79","2409","3206","2","43","557374","2021","2021-03-26","Počet domů","bez výtahu","Velké Hydčice"
"965554343","1","2409","5768","9","43","557374","2021","2021-03-26","Počet domů","nezjištěno","Velké Hydčice"
"957606083","225","2409",,,"43","557382","2021","2021-03-26","Počet domů",,"Velký Bor"
"965488609","0","2409","3206","1","43","557382","2021","2021-03-26","Počet domů","s výtahem","Velký Bor"
"965502054","222","2409","3206","2","43","557382","2021","2021-03-26","Počet domů","bez výtahu","Velký Bor"
"965555560","3","2409","5768","9","43","557382","2021","2021-03-26","Počet domů","nezjištěno","Velký Bor"
"957098182","333","2409",,,"43","557455","2021","2021-03-26","Počet domů",,"Vrhaveč"
"965580334","0","2409","3206","1","43","557455","2021","2021-03-26","Počet domů","s výtahem","Vrhaveč"
"965540135","331","2409","3206","2","43","557455","2021","2021-03-26","Počet domů","bez výtahu","Vrhaveč"
"965580335","2","2409","5768","9","43","557455","2021","2021-03-26","Počet domů","nezjištěno","Vrhaveč"
"957532433","204","2409",,,"43","557463","2021","2021-03-26","Počet domů",,"Zavlekov"
"965514798","0","2409","3206","1","43","557463","2021","2021-03-26","Počet domů","s výtahem","Zavlekov"
"965514797","171","2409","3206","2","43","557463","2021","2021-03-26","Počet domů","bez výtahu","Zavlekov"
"965568118","33","2409","5768","9","43","557463","2021","2021-03-26","Počet domů","nezjištěno","Zavlekov"
"957387626","618","2409",,,"43","557528","2021","2021-03-26","Počet domů",,"Železná Ruda"
"965486600","12","2409","3206","1","43","557528","2021","2021-03-26","Počet domů","s výtahem","Železná Ruda"
"965566874","557","2409","3206","2","43","557528","2021","2021-03-26","Počet domů","bez výtahu","Železná Ruda"
"965553556","49","2409","5768","9","43","557528","2021","2021-03-26","Počet domů","nezjištěno","Železná Ruda"
"957533076","367","2409",,,"43","557536","2021","2021-03-26","Počet domů",,"Žihobce"
"965526868","0","2409","3206","1","43","557536","2021","2021-03-26","Počet domů","s výtahem","Žihobce"
"965526867","353","2409","3206","2","43","557536","2021","2021-03-26","Počet domů","bez výtahu","Žihobce"
"965526869","14","2409","5768","9","43","557536","2021","2021-03-26","Počet domů","nezjištěno","Žihobce"
"957098515","204","2409",,,"43","557544","2021","2021-03-26","Počet domů",,"Žichovice"
"965527964","0","2409","3206","1","43","557544","2021","2021-03-26","Počet domů","s výtahem","Žichovice"
"965488677","200","2409","3206","2","43","557544","2021","2021-03-26","Počet domů","bez výtahu","Žichovice"
"965487749","4","2409","5768","9","43","557544","2021","2021-03-26","Počet domů","nezjištěno","Žichovice"
"957172775","1160","2409",,,"43","557587","2021","2021-03-26","Počet domů",,"Blovice"
"965514106","10","2409","3206","1","43","557587","2021","2021-03-26","Počet domů","s výtahem","Blovice"
"965527447","1111","2409","3206","2","43","557587","2021","2021-03-26","Počet domů","bez výtahu","Blovice"
"965554142","39","2409","5768","9","43","557587","2021","2021-03-26","Počet domů","nezjištěno","Blovice"
"957098328","210","2409",,,"43","557641","2021","2021-03-26","Počet domů",,"Čižice"
"965488102","0","2409","3206","1","43","557641","2021","2021-03-26","Počet domů","s výtahem","Čižice"
"965501550","201","2409","3206","2","43","557641","2021","2021-03-26","Počet domů","bez výtahu","Čižice"
"965488103","9","2409","5768","9","43","557641","2021","2021-03-26","Počet domů","nezjištěno","Čižice"
"957248438","350","2409",,,"43","557650","2021","2021-03-26","Počet domů",,"Čížkov"
"965541933","0","2409","3206","1","43","557650","2021","2021-03-26","Počet domů","s výtahem","Čížkov"
"965501708","328","2409","3206","2","43","557650","2021","2021-03-26","Počet domů","bez výtahu","Čížkov"
"965515337","22","2409","5768","9","43","557650","2021","2021-03-26","Počet domů","nezjištěno","Čížkov"
"957172417","304","2409",,,"43","557668","2021","2021-03-26","Počet domů",,"Dnešice"
"965487774","0","2409","3206","1","43","557668","2021","2021-03-26","Počet domů","s výtahem","Dnešice"
"965554705","300","2409","3206","2","43","557668","2021","2021-03-26","Počet domů","bez výtahu","Dnešice"
"965581498","4","2409","5768","9","43","557668","2021","2021-03-26","Počet domů","nezjištěno","Dnešice"
"957248476","1214","2409",,,"43","557676","2021","2021-03-26","Počet domů",,"Dobřany"
"965501375","39","2409","3206","1","43","557676","2021","2021-03-26","Počet domů","s výtahem","Dobřany"
"965528154","1159","2409","3206","2","43","557676","2021","2021-03-26","Počet domů","bez výtahu","Dobřany"
"965501376","16","2409","5768","9","43","557676","2021","2021-03-26","Počet domů","nezjištěno","Dobřany"
